st1;st2;st3;st4;chi2;chi2error;offset
15;12;10;10;44106.9682117;20.2441570882;10
15;12;10;11;47667.429123;23.8496382243;0
15;12;10;11;46487.174616;23.5613877268;1
15;12;10;11;45264.037233;23.2297373179;2
15;12;10;11;44089.0577408;22.8605376764;3
15;12;10;11;43094.8626373;22.4673709413;4
15;12;10;11;42388.1543725;22.0579278963;5
15;12;10;11;42012.4900893;21.6368024191;6
15;12;10;11;41978.4516736;21.2120316654;7
15;12;10;11;42306.1275113;20.7999273395;8
15;12;10;11;43023.7596828;20.4632381837;9
15;12;10;11;44106.9682117;20.2441570882;10
15;12;10;12;38777.4818954;21.1559679621;0
15;12;10;12;38769.528466;21.1378423312;1
15;12;10;12;38763.9134644;21.0823260903;2
15;12;10;12;38805.9889532;20.992744601;3
15;12;10;12;38972.539992;20.8796480964;4
15;12;10;12;39321.3698833;20.7487992995;5
15;12;10;12;39863.156067;20.6032974921;6
15;12;10;12;40596.604099;20.4503561397;7
15;12;10;12;41533.9795781;20.3208039635;8
15;12;10;12;42705.0498767;20.2498249978;9
15;12;10;12;44106.9682117;20.2441570882;10
15;12;10;13;33443.6480868;19.0354951954;0
15;12;10;13;34072.011789;19.2300134174;1
15;12;10;13;34754.8294093;19.3918715864;2
15;12;10;13;35506.4349892;19.5224071191;3
15;12;10;13;36364.0122554;19.6297835153;4
15;12;10;13;37350.6224722;19.7182457173;5
15;12;10;13;38454.1404247;19.7940068755;6
15;12;10;13;39666.3464379;19.8731511867;7
15;12;10;13;40994.9356017;19.9650910924;8
15;12;10;13;42471.0041186;20.0891757399;9
15;12;10;13;44106.9682117;20.2441570882;10
15;12;10;14;30284.7748122;17.4088969972;0
15;12;10;14;31235.7210741;17.7602069093;1
15;12;10;14;32292.2068488;18.0883691919;2
15;12;10;14;33447.2780627;18.39270314;3
15;12;10;14;34709.7301724;18.6794618591;4
15;12;10;14;36077.6757365;18.9519972994;5
15;12;10;14;37522.9959394;19.2083537124;6
15;12;10;14;39033.5319437;19.45767689;7
15;12;10;14;40614.3716232;19.7070732187;8
15;12;10;14;42297.7329801;19.966268963;9
15;12;10;14;44106.9682117;20.2441570882;10
15;13;10;10;54960.2787466;25.2898797196;0
15;13;10;10;50730.6174501;24.4572829035;1
15;13;10;10;46592.8670417;23.5845668851;2
15;13;10;10;42676.5133238;22.6813581025;3
15;13;10;10;39136.9552213;21.7630431876;4
15;13;10;10;36095.8972811;20.8388542499;5
15;13;10;10;33608.7760425;19.9151491442;6
15;13;10;10;31679.8040486;18.9986463739;7
15;13;10;10;30322.4530056;18.1065377409;8
15;13;10;10;29537.784231;17.2954387323;9
15;13;10;10;29261.7370453;16.6694374812;10
15;13;10;11;40493.5585675;21.9069518913;0
15;13;10;11;38471.559859;21.4135996148;1
15;13;10;11;36489.9397468;20.8876751005;2
15;13;10;11;34622.6599145;20.3356332893;3
15;13;10;11;32964.9433296;19.7690531023;4
15;13;10;11;31588.8493008;19.194745235;5
15;13;10;11;30518.9390359;18.6171905086;6
15;13;10;11;29749.7440348;18.0420729699;7
15;13;10;11;29287.198218;17.487008211;8
15;13;10;11;29136.5247933;17.0148813901;9
15;13;10;11;29261.7370453;16.6694374812;10
15;13;10;12;31643.1159402;19.2132816291;0
15;13;10;12;30919.5514082;18.9900542191;1
15;13;10;12;30221.8167547;18.740263873;2
15;13;10;12;29587.5968107;18.4678402139;3
15;13;10;12;29071.1859787;18.1813302574;4
15;13;10;12;28711.1288985;17.8856166381;5
15;13;10;12;28512.3414704;17.5836855815;6
15;13;10;12;28465.5331808;17.2820319968;7
15;13;10;12;28573.1816376;17.0193561126;8
15;13;10;12;28844.0293898;16.8136188152;9
15;13;10;12;29261.7370453;16.6694374812;10
15;13;10;13;26340.3803808;17.0928088623;0
15;13;10;13;26352.4256833;17.0822253053;1
15;13;10;13;26395.3650491;17.049809369;2
15;13;10;13;26483.2743514;16.997502732;3
15;13;10;13;26642.5861602;16.9314656763;4
15;13;10;13;26889.2138271;16.855063056;5
15;13;10;13;27215.6887901;16.7853743758;6
15;13;10;13;27612.1357093;16.7190032177;7
15;13;10;13;28079.8989975;16.6718735109;8
15;13;10;13;28630.6197606;16.6617016017;9
15;13;10;13;29261.7370453;16.6694374812;10
15;13;10;14;23205.9107699;15.4662106642;0
15;13;10;14;23618.4563858;15.618729638;1
15;13;10;14;24076.0591875;15.7570092023;2
15;13;10;14;24577.3210326;15.8817657238;3
15;13;10;14;25129.4985335;15.9983291437;4
15;13;10;14;25733.05998;16.1067428678;5
15;13;10;14;26372.7186554;16.2131167968;6
15;13;10;14;27039.6355498;16.3204576065;7
15;13;10;14;27735.245216;16.4289601988;8
15;13;10;14;28473.5423681;16.5424879266;9
15;13;10;14;29261.7370453;16.6694374812;10
15;14;10;10;50289.5499559;23.7653995636;0
15;14;10;10;45296.0758226;22.7718536602;1
15;14;10;10;40544.9915089;21.7466853322;2
15;14;10;10;36142.0565485;20.6999951987;3
15;14;10;10;32197.858059;19.6455979107;4
15;14;10;10;28790.2807408;18.5920349482;5
15;14;10;10;25943.9967822;17.5455754471;6
15;14;10;10;23641.4123425;16.5110913607;7
15;14;10;10;21880.6011204;15.5033924015;8
15;14;10;10;20646.0470695;14.5877553019;9
15;14;10;10;19870.4574161;13.8702685364;10
15;14;10;11;35861.7625253;20.3824717352;0
15;14;10;11;33200.2582294;19.7281703715;1
15;14;10;11;30670.7066455;19.0497935476;2
15;14;10;11;28332.6187977;18.3542703855;3
15;14;10;11;26251.1028472;17.6516078254;4
15;14;10;11;24469.5600358;16.9479259333;5
15;14;10;11;22994.8300399;16.2476168114;6
15;14;10;11;21807.5757015;15.5545179567;7
15;14;10;11;20902.6362008;14.8943097961;8
15;14;10;11;20270.6225657;14.319865182;9
15;14;10;11;19870.4574161;13.8702685364;10
15;14;10;12;27042.3202598;17.688801473;0
15;14;10;12;25778.2303015;17.3046249759;1
15;14;10;12;24584.6411344;16.9023823201;2
15;14;10;12;23492.1726721;16.4864773101;3
15;14;10;12;22536.7070586;16.0638849805;4
15;14;10;12;21740.2034965;15.6387973364;5
15;14;10;12;21100.2417535;15.2141118844;6
15;14;10;12;20599.9831057;14.804923908;7
15;14;10;12;20234.2369146;14.4286178914;8
15;14;10;12;19998.6983351;14.1268823309;9
15;14;10;12;19870.4574161;13.8702685364;10
15;14;10;13;21763.9883641;15.5683287063;0
15;14;10;13;21313.425994;15.3967960621;1
15;14;10;13;20901.5061277;15.2119278161;2
