st1;st2;chi2;chi2error;offset
15;12;162.231959276;0.321072740792;3
15;12;167.581166137;0.321305614927;4
15;12;175.201178038;0.322004237333;5
15;12;185.18312725;0.32409881009;6
15;12;197.388944138;0.32983298177;7
15;12;211.606018108;0.344464210077;8
15;12;227.462134584;0.362628392628;9
15;12;244.578197473;0.381956945856;10
15;13;134.114213146;0.302501691959;0
15;13;134.618144231;0.302909617623;1
15;13;136.189462034;0.304133394616;2
15;13;138.916491528;0.306180398601;3
15;13;142.88525635;0.309987704802;4
15;13;148.188376914;0.315934197274;5
15;13;154.783672196;0.323412834453;6
15;13;162.530968481;0.332115248624;7
15;13;171.278189624;0.341905464567;8
15;13;180.801148071;0.353090955115;9
15;13;190.882178828;0.365328725044;10
15;14;136.848069481;0.324795169203;0
15;14;137.130353938;0.325094848907;1
15;14;137.992324617;0.325993888018;2
15;14;139.444292897;0.327492286538;3
15;14;141.48607619;0.329977169249;4
15;14;144.118941279;0.333213710051;5
15;14;147.291299171;0.337049610261;6
15;14;150.920763454;0.341364997998;7
15;14;154.930639259;0.34609993732;8
15;14;159.219738014;0.351194492287;9
15;14;163.693392184;0.356528791017;10
16;10;331.137035757;0.534194608611;0
16;10;330.093103607;0.534194608611;1
16;10;327.781227524;0.534194608611;2
16;10;326.045279238;0.534194608611;3
16;10;327.210259233;0.534194608611;4
16;10;333.703730917;0.534194608611;5
16;10;347.060073299;0.534194608611;6
16;10;367.769738776;0.534194608611;7
16;10;395.708250497;0.534194608611;8
16;10;430.077642616;0.534194608611;9
16;10;469.918049482;0.537748666399;10
16;11;184.238500872;0.379605482403;0
16;11;184.307539551;0.379605482403;1
16;11;184.955269511;0.379605482403;2
16;11;187.123073502;0.379605482403;3
16;11;191.970424639;0.379605482403;4
16;11;200.710989171;0.379605482403;5
16;11;214.002418452;0.379605482403;6
16;11;231.917239003;0.379605482403;7
16;11;254.233104599;0.380064801777;8
16;11;280.340512718;0.392899000738;9
16;11;309.56282049;0.41558242306;10
16;12;119.794299544;0.279783428435;0
16;12;120.298364333;0.279783428435;1
16;12;122.032548517;0.279783428435;2
16;12;125.434277289;0.279783428435;3
16;12;131.020716072;0.280064119872;4
16;12;139.335646511;0.281006746694;5
16;12;150.586088164;0.284810105602;6
16;12;164.666287834;0.299378908906;7
16;12;181.348432889;0.319588692332;8
16;12;200.190859322;0.342647007537;9
16;12;220.732871059;0.367909236819;10
16;13;101.820710978;0.264964375786;0
16;13;102.38584771;0.265515753354;1
16;13;104.183158813;0.267169886058;2
16;13;107.387221331;0.270842678284;3
16;13;112.187781679;0.276868457052;4
16;13;118.786315196;0.28513912057;5
16;13;127.189435864;0.295247709315;6
16;13;137.247400069;0.308411787108;7
16;13;148.773283825;0.322931396396;8
16;13;161.468631361;0.338369968297;9
16;13;175.036772435;0.354359917766;10
16;14;107.923824039;0.294474716609;0
16;14;108.363304363;0.295121236061;1
